Numero_Securite_Sociale,Nom,Prenom,Date_Naissance,Numero_Telephone,E_Mail,ID_Remboursement,Code_Soin,Montant_Remboursement
139633634031181,Nom_Dubois,Prenom_Jean,1983-2-8,915236480,email_9252@example.com,ID_542681,Soin_87,561.37
632579077475902,Nom_Durand,Prenom_Jean,1951-7-18,965322684,email_4346@example.com,ID_350982,Soin_68,451.98
283673272625197,Nom_Dupont,Prenom_Claire,1950-8-3,234304978,email_8649@example.com,ID_377422,Soin_14,329.06
504852287482255,Nom_Martin,Prenom_Marie,1968-4-12,520017689,email_2582@example.com,ID_207821,Soin_70,303.48
973957107453202,Nom_Martin,Prenom_Jean,1976-8-14,909220373,email_1454@example.com,ID_742768,Soin_18,351.19
925982556289025,Nom_Dubois,Prenom_Sophie,1987-12-8,737433279,email_5007@example.com,ID_396176,Soin_58,296.11
567692656872579,Nom_Dupont,Prenom_Jean,1979-5-23,398601444,email_3295@example.com,ID_482688,Soin_25,318.79
311379390980717,Nom_Dupont,Prenom_Sophie,1998-9-7,741658795,email_8737@example.com,ID_416992,Soin_65,161.75
407167452813558,Nom_Martin,Prenom_Jean,1981-1-15,880535591,email_8640@example.com,ID_943106,Soin_61,286.86
507065101750684,Nom_Dupont,Prenom_Marie,1989-4-17,874538612,email_9504@example.com,ID_462221,Soin_65,245.29
618633047934621,Nom_Dubois,Prenom_Sophie,1990-11-12,503468228,email_9178@example.com,ID_929295,Soin_95,825.53
974496040281888,Nom_Dupont,Prenom_Sophie,1974-7-9,144213045,email_6077@example.com,ID_647295,Soin_5,974.95
492422453529476,Nom_Dubois,Prenom_Marie,1965-10-23,874358365,email_5065@example.com,ID_547489,Soin_32,993.90
998478153673902,Nom_Durand,Prenom_Jean,1972-11-4,723923728,email_1070@example.com,ID_403812,Soin_64,668.11
763462019901645,Nom_Durand,Prenom_Sophie,1995-9-24,571507425,email_2227@example.com,ID_445684,Soin_94,399.72
131368979196124,Nom_Durand,Prenom_Sophie,1977-5-14,715296522,email_6669@example.com,ID_102330,Soin_55,838.95
660050650886320,Nom_Dupont,Prenom_Jean,1985-9-24,551269492,email_7526@example.com,ID_224810,Soin_27,565.58
734638688365535,Nom_Martin,Prenom_Sophie,1964-3-28,955349346,email_3659@example.com,ID_574797,Soin_12,718.80
362954469024053,Nom_Durand,Prenom_Claire,1992-1-8,412130863,email_6991@example.com,ID_663185,Soin_69,811.49
941696735575153,Nom_Martin,Prenom_Claire,1965-4-5,547335450,email_1593@example.com,ID_317856,Soin_73,415.84
